Course URL,Course Name,Learning Product Type,Course Provided By,Course Rating,Course Rated By,Enrolled Student Count,Course Difficulty
https://www.coursera.org/professional-certificates/ibm-data-science,IBM Data Science,PROFESSIONAL CERTIFICATE,IBM,4.6,51792,500k,Beginner
https://www.coursera.org/specializations/introduction-data-science,Introduction to Data Science,SPECIALIZATION,IBM,4.6,40336,320k,Beginner
https://www.coursera.org/specializations/python,Python for Everybody,SPECIALIZATION,University of Michigan,4.8,135354,1.5m,Beginner
https://www.coursera.org/professional-certificates/google-it-support,Google IT Support,PROFESSIONAL CERTIFICATE,Google,4.8,38906,380k,Beginner
https://www.coursera.org/specializations/deep-learning,Deep Learning,SPECIALIZATION,deeplearning.ai,4.8,92961,720k,Intermediate
https://www.coursera.org/learn/the-science-of-well-being,The Science of Well-Being,COURSE,Yale University,4.9,10580,2.6m,Mixed
https://www.coursera.org/learn/machine-learning,Machine Learning,COURSE,Stanford University,4.9,137094,3.2m,Mixed
https://www.coursera.org/specializations/applied-data-science,Applied Data Science,SPECIALIZATION,IBM,4.6,21370,230k,Beginner
https://www.coursera.org/professional-certificates/gcp-cloud-architect,Cloud Architecture with Google Cloud,PROFESSIONAL CERTIFICATE,Google Cloud,4.7,35738,330k,Intermediate
https://www.coursera.org/professional-certificates/cloud-engineering-gcp,Cloud Engineering with Google Cloud,PROFESSIONAL CERTIFICATE,Google Cloud,4.7,35302,320k,Intermediate
https://www.coursera.org/specializations/gcp-architecture,Architecting with Google Compute Engine,SPECIALIZATION,Google Cloud,4.7,35574,320k,Intermediate
https://www.coursera.org/specializations/wharton-business-foundations,Business Foundations,SPECIALIZATION,University of Pennsylvania,4.7,16551,520k,Beginner
https://www.coursera.org/specializations/jhu-data-science,Data Science,SPECIALIZATION,Johns Hopkins University,4.5,37117,850k,Beginner
https://www.coursera.org/professional-certificates/gcp-data-engineering,Data Engineering with Google Cloud,PROFESSIONAL CERTIFICATE,Google Cloud,4.6,11388,130k,Intermediate
https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM Applied AI,PROFESSIONAL CERTIFICATE,IBM,4.6,19683,230k,Beginner
https://www.coursera.org/specializations/gcp-data-machine-learning,"Data Engineering, Big Data, and Machine Learning on GCP",SPECIALIZATION,Google Cloud,4.6,11246,130k,Intermediate
https://www.coursera.org/specializations/excel,Excel Skills for Business,SPECIALIZATION,Macquarie University,4.9,16474,260k,Beginner
https://www.coursera.org/specializations/data-science-foundations-r,Data Science: Foundations using R,SPECIALIZATION,Johns Hopkins University,4.6,35094,760k,Beginner
https://www.coursera.org/specializations/architecting-google-kubernetes-engine,Architecting with Google Kubernetes Engine,SPECIALIZATION,Google Cloud,4.7,30485,310k,Beginner
https://www.coursera.org/learn/financial-markets-global,Financial Markets,COURSE,Yale University,4.8,7704,500k,Beginner
https://www.coursera.org/specializations/developing-apps-gcp,Developing Applications with Google Cloud Platform,SPECIALIZATION,Google Cloud,4.7,30457,310k,Intermediate
